,,,, litres of water/ kg or litres of food commodity,,,,,,,,,,,,,,,,
FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,n,mean,median,st.dev,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,-,GUINEA BONE FREE MEAT,1,4325,4325,-,4325,4325,-,4325,4325,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,-,TURKEY BONE FREE MEAT,1,4325,4325,-,4325,4325,-,4325,4325,-,-,-,n.a,G*,R,R,ok item
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE* (chicken),-,CHICKEN MEAT WITH BONE*,1,3330,3330,-,3330,3330,-,3330,3330,-,-,-,n.a,G*,n.a,R,item matching typology
ANIMAL HUSBANDRY,SHEEP BONE FREE MEAT*,-,SHEEP BONE FREE MEAT*,17,9256,8705,4217,2839,19813,2900,5805,11441,0.5,0.653,3.187,0.719,G*,n.a,G,item matching typology
ANIMAL HUSBANDRY,SHEEP MEAT WITH BONE,-,SHEEP CARCASSE WITH BONE,1,8310,8310,-,8310,8310,-,8310,8310,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,SHEEP MEAT WITH BONE,-,SHEEP CUTS WITH BONE,1,8320,8320,-,8320,8320,-,8320,8320,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,YOGURT,-,YOGURT FLAVORED,2,1659,1659,41,1618,1700,41,1639,1680,0.0,0.000,1.000,n.a,R,G,R,typology
ANIMAL HUSBANDRY,YOGURT,-,YOGURT WHITE,6,1605,1540,313,1186,2070,255,1386,1855,0.2,0.191,1.582,0.652,Y,G,G,ok item
ANIMAL HUSBANDRY,YOGURT,-,YOGURT WHITE LACTOSE FREE,3,1073,1040,93,980,1200,60,1010,1120,0.1,0.492,1.500,0.604,R,G,G,item or typology
CROPS,COFFEE (GREEN),-,COFFEE BEAN,1,19928,19928,-,19928,19928,-,19928,19928,-,-,-,n.a,G*,G,R,ok item
CROPS,COFFEE (GREEN),-,COFFEE GREEN,1,15897,15897,-,15897,15897,-,15897,15897,-,-,-,n.a,G*,G,R,ok item
CROPS,DRIED FRUIT,-,APPLES,1,6847,6847,-,6847,6847,-,6847,6847,-,-,-,n.a,G*,R,R,ok item
CROPS,DRIED FRUIT,-,COCONUTS,1,2093,2093,-,2093,2093,-,2093,2093,-,-,-,n.a,G*,G,R,ok item
CROPS,DRIED FRUIT,-,DATES,4,2902,2840,629,2277,3650,562,2279,3463,0.2,0.059,1.078,0.112,G*,G,G,ok item
CROPS,DRIED FRUIT,-,RAISINS,1,2433,2433,-,2433,2433,-,2433,2433,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,CITRUS FRUIT,CITRUS,6,543,457,421,47,1359,234,270,662,0.8,0.878,2.743,0.528,Y,R,G,ok item
CROPS,FRUIT,CITRUS FRUIT,CLEMENTINE,1,748,748,-,748,748,-,748,748,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,CITRUS FRUIT,LEMON,1,642,642,-,642,642,-,642,642,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,CITRUS FRUIT,LIME,1,642,642,-,642,642,-,642,642,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,CITRUS FRUIT,MANDARIN,1,748,748,-,748,748,-,748,748,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,CITRUS FRUIT,ORANGE,2,654,654,94,560,748,94,607,701,0.1,0.000,1.000,n.a,G*,G,R,ok item
CROPS,FRUIT,CITRUS FRUIT,TANGERIN,1,748,748,-,748,748,-,748,748,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",APPLE,4,680,622,285,398,1078,212,416,886,0.4,0.285,1.376,0.328,Y,G,G,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",APRICOT,1,1287,1287,-,1287,1287,-,1287,1287,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",AVOCADO,5,1901,1805,1000,656,3680,422,1383,1981,0.5,0.713,2.499,0.585,Y,G,G,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",BANANA,3,469,500,276,117,790,290,309,645,0.6,-0.167,1.500,0.848,R,G,R,typology
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",CAHSEW APPLE,1,3793,3793,-,3793,3793,-,3793,3793,-,-,-,n.a,G*,R,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",CHERRY SOUR,1,1411,1411,-,1411,1411,-,1411,1411,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",CHERRY SWEET,1,1604,1604,-,1604,1604,-,1604,1604,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",COCONUT,2,1972,1972,716,1256,2687,716,1614,2329,0.4,0.000,1.000,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",FIG,1,3350,3350,-,3350,3350,-,3350,3350,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",GRAPES,3,575,608,49,506,610,2,557,609,0.1,-0.706,1.500,0.032,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",GUAVA,1,1800,1800,-,1800,1800,-,1800,1800,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",KIWI,1,514,514,-,514,514,-,514,514,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",MANGO,4,2000,1855,527,1430,2860,240,1708,2148,0.3,0.753,2.114,0.435,G*,G,G,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",MANGOSTEEN,1,1800,1800,-,1800,1800,-,1800,1800,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PALM NUT,1,2868,2868,-,2868,2868,-,2868,2868,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PAPAYA,1,460,460,-,460,460,-,460,460,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PEACH,3,827,910,280,450,1120,210,680,1015,0.3,-0.420,1.500,0.595,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PEAR,1,922,922,-,922,922,-,922,922,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PINEAPPLE,1,255,255,-,255,255,-,255,255,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PLANTAIN,1,1602,1602,-,1602,1602,-,1602,1602,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PLUM,1,2180,2180,-,2180,2180,-,2180,2180,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,"FRUIT (excluded citrus, wild berries and olives)",WATERMELON,2,185,185,50,136,235,50,161,210,0.3,0.000,1.000,n.a,G*,G,R,ok item
CROPS,FRUIT,OLIVES*,OLIVES*,3,4972,3015,2957,2750,9150,265,2883,6083,0.6,0.703,1.500,0.070,G*,n.a,R,item matching typology
CROPS,FRUIT,WILD BERRIES,BLACKBERRY,1,413,413,-,413,413,-,413,413,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,WILD BERRIES,BLUEBERRY,1,845,845,-,845,845,-,845,845,-,-,-,n.a,G*,R,R,ok item
CROPS,FRUIT,WILD BERRIES,CRANBERRY,1,276,276,-,276,276,-,276,276,-,-,-,n.a,G*,R,R,ok item
CROPS,FRUIT,WILD BERRIES,CURRANT,1,499,499,-,499,499,-,499,499,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,WILD BERRIES,GOOSEBERRY,1,526,526,-,526,526,-,526,526,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,WILD BERRIES,LONGABERRY,1,413,413,-,413,413,-,413,413,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,WILD BERRIES,MULBERRY,1,413,413,-,413,413,-,413,413,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,WILD BERRIES,RASPBERRY,1,413,413,-,413,413,-,413,413,-,-,-,n.a,G*,G,R,ok item
CROPS,FRUIT,WILD BERRIES,STRAWBERRY,3,275,248,52,229,347,19,238,297,0.2,0.636,1.500,0.289,R,R,R,typology
CROPS,GRAINS,-,BARLEY,1,1423,1423,-,1423,1423,-,1423,1423,-,-,-,n.a,G*,G,R,ok item
CROPS,GRAINS,-,MAIZE,6,1383,1191,606,760,2540,377,941,1618,0.4,0.901,2.515,0.302,Y,G,G,ok item
CROPS,GRAINS,-,MILLET,1,4478,4478,-,4478,4478,-,4478,4478,-,-,-,n.a,G*,R,R,ok item
CROPS,GRAINS,-,OAT,1,1788,1788,-,1788,1788,-,1788,1788,-,-,-,n.a,G*,G,R,ok item
CROPS,GRAINS,-,RICE,12,1651,1597,681,638,2672,601,1115,2253,0.4,0.074,1.588,0.375,G*,G,G,ok item
CROPS,GRAINS,-,RYE,1,1554,1554,-,1554,1554,-,1554,1554,-,-,-,n.a,G*,G,R,ok item
CROPS,GRAINS,-,SORGHUM,1,3048,3048,-,3048,3048,-,3048,3048,-,-,-,n.a,G*,R,R,ok item
CROPS,GRAINS,-,WHEAT,27,1795,1639,885,566,3710,600,1173,2229,0.5,0.671,2.894,0.055,G*,G,G,ok item
CROPS,LEGUMES DRIED,-,BEAN,1,5053,5053,-,5053,5053,-,5053,5053,-,-,-,n.a,G*,G,R,ok item
CROPS,LEGUMES DRIED,-,CHICKPEA,1,4177,4177,-,4177,4177,-,4177,4177,-,-,-,n.a,G*,G,R,ok item
CROPS,LEGUMES DRIED,-,COWPEA,1,6906,6906,-,6906,6906,-,6906,6906,-,-,-,n.a,G*,G,R,ok item
CROPS,LEGUMES DRIED,-,FABA BEAN,1,2018,2018,-,2018,2018,-,2018,2018,-,-,-,n.a,G*,G,R,ok item
CROPS,LEGUMES DRIED,-,LENTIL,1,5874,5874,-,5874,5874,-,5874,5874,-,-,-,n.a,G*,G,R,ok item
CROPS,LEGUMES DRIED,-,PEA,1,1979,1979,-,1979,1979,-,1979,1979,-,-,-,n.a,G*,G,R,ok item
CROPS,LEGUMES DRIED,-,PIGEON PEA,1,5494,5494,-,5494,5494,-,5494,5494,-,-,-,n.a,G*,G,R,ok item
CROPS,LEGUMES DRIED,-,SOYBEAN,3,1920,1816,159,1800,2145,16,1808,1981,0.1,0.701,1.500,0.080,R,G,R,typology
CROPS,LEGUMES FRESH,-,BEAN (fresh),1,516,516,-,516,516,-,516,516,-,-,-,n.a,G*,G,R,ok item
CROPS,LEGUMES FRESH,-,PEA (fresh),1,595,595,-,595,595,-,595,595,-,-,-,n.a,G*,G,R,ok item
CROPS,NUTS SHELLED,-,ALMOND SHELLED,1,16095,16095,-,16095,16095,-,16095,16095,-,-,-,n.a,G*,G,R,ok item
CROPS,NUTS SHELLED,-,ARECA NUT,1,11165,11165,-,11165,11165,-,11165,11165,-,-,-,n.a,G*,G,R,ok item
CROPS,NUTS SHELLED,-,CAHSEW NUT,1,14218,14218,-,14218,14218,-,14218,14218,-,-,-,n.a,G*,G,R,ok item
CROPS,NUTS SHELLED,-,HAZELNUT SHELLED,1,10515,10515,-,10515,10515,-,10515,10515,-,-,-,n.a,G*,G,R,ok item
CROPS,NUTS SHELLED,-,KOLA NUT,1,23391,23391,-,23391,23391,-,23391,23391,-,-,-,n.a,G*,R,R,ok item
CROPS,NUTS SHELLED,-,MIXED NUTS,1,9063,9063,-,9063,9063,-,9063,9063,-,-,-,n.a,G*,G,R,ok item
CROPS,NUTS SHELLED,-,PISTACHIO,1,11363,11363,-,11363,11363,-,11363,11363,-,-,-,n.a,G*,G,R,ok item
CROPS,NUTS SHELLED,-,WALNUT SHELLED,2,9173,9173,108,9065,9280,108,9119,9226,0.0,0.000,1.000,n.a,G*,G,R,ok item
CROPS,NUTS WITH SHELL,-,ALMOND WITH SHELL,1,8047,8047,-,8047,8047,-,8047,8047,-,-,-,n.a,G*,G,R,ok item
CROPS,NUTS WITH SHELL,-,CHESTNUT,1,2750,2750,-,2750,2750,-,2750,2750,-,-,-,n.a,G*,G,R,ok item
CROPS,NUTS WITH SHELL,-,HAZELNUT WITH SHELL,1,5258,5258,-,5258,5258,-,5258,5258,-,-,-,n.a,G*,G,R,ok item
CROPS,NUTS WITH SHELL,-,PEANUT,5,2645,2782,997,1330,3974,1062,1720,3420,0.4,-0.051,1.458,0.704,Y,G,G,ok item
CROPS,NUTS WITH SHELL,-,WALNUT WITH SHELL,1,4918,4918,-,4918,4918,-,4918,4918,-,-,-,n.a,G*,G,R,ok item
CROPS,SEEDS,-,BRASSICAS,1,280,280,-,280,280,-,280,280,-,-,-,n.a,G*,G,R,ok item
CROPS,SEEDS,-,HEMPSEED,1,3685,3685,-,3685,3685,-,3685,3685,-,-,-,n.a,G*,G,R,ok item
CROPS,SEEDS,-,LINSEED,1,5168,5168,-,5168,5168,-,5168,5168,-,-,-,n.a,G*,G,R,ok item
CROPS,SEEDS,-,MUSTARD SEED,1,2809,2809,-,2809,2809,-,2809,2809,-,-,-,n.a,G*,G,R,ok item
CROPS,SEEDS,-,POPPY SEED,1,2188,2188,-,2188,2188,-,2188,2188,-,-,-,n.a,G*,G,R,ok item
CROPS,SEEDS,-,RAPESEED,1,2271,2271,-,2271,2271,-,2271,2271,-,-,-,n.a,G*,G,R,ok item
CROPS,SEEDS,-,SESAM SEED,1,9371,9371,-,9371,9371,-,9371,9371,-,-,-,n.a,G*,R,R,ok item
CROPS,SEEDS,-,SUNFLOWER SEED,1,3366,3366,-,3366,3366,-,3366,3366,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,ANISE,1,8280,8280,-,8280,8280,-,8280,8280,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,BADIAN,1,8280,8280,-,8280,8280,-,8280,8280,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,CARDAMOM,1,34319,34319,-,34319,34319,-,34319,34319,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,CHILLY,1,7365,7365,-,7365,7365,-,7365,7365,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,CINNAMON,1,15526,15526,-,15526,15526,-,15526,15526,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,CLOVE,1,61205,61205,-,61205,61205,-,61205,61205,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,CORIANDER,1,8280,8280,-,8280,8280,-,8280,8280,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,FENNEL SEEDS,1,8280,8280,-,8280,8280,-,8280,8280,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,GARLIC POWDER,1,2265,2265,-,2265,2265,-,2265,2265,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,GINGER,1,1657,1657,-,1657,1657,-,1657,1657,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,HOP CONE,1,4065,4065,-,4065,4065,-,4065,4065,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,HOP EXTRACT,1,16259,16259,-,16259,16259,-,16259,16259,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,MACE,1,34319,34319,-,34319,34319,-,34319,34319,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,NUTMEG,1,34319,34319,-,34319,34319,-,34319,34319,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,PEPPER (PIPER SPP.),1,7611,7611,-,7611,7611,-,7611,7611,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,PEPPERMINT,1,288,288,-,288,288,-,288,288,-,-,-,n.a,G*,G,R,ok item
CROPS,SPICIES,-,SAFFRON,6,734167,731000,90160,581000,871000,47500,698750,785000,0.1,-0.203,2.311,0.942,Y,R,G,ok item
CROPS,SPICIES,-,VANILLA BEAN,1,126505,126505,-,126505,126505,-,126505,126505,-,-,-,n.a,G*,R,R,ok item
CROPS,STARCHY TUBERS,-,MANIOC,1,564,564,-,564,564,-,564,564,-,-,-,n.a,G*,G,R,ok item
CROPS,STARCHY TUBERS,-,POTATO,2,555,555,268,287,823,268,421,689,0.5,0.000,1.000,n.a,R,G,R,typology
CROPS,STARCHY TUBERS,-,SWEET POTATO,1,383,383,-,383,383,-,383,383,-,-,-,n.a,G*,G,R,ok item
CROPS,STARCHY TUBERS,-,TARO,1,606,606,-,606,606,-,606,606,-,-,-,n.a,G*,G,R,ok item
CROPS,STARCHY TUBERS,-,YAM,1,343,343,-,343,343,-,343,343,-,-,-,n.a,G*,G,R,ok item
CROPS,SUGAR CROPS,-,SUGAR BEET,1,132,132,-,132,132,-,132,132,-,-,-,n.a,G*,G,R,ok item
CROPS,SUGAR CROPS,-,SUGAR CANE,1,210,210,-,210,210,-,210,210,-,-,-,n.a,G*,G,R,ok item
CROPS,TEA,-,BLACK TEA,1,8856,8856,-,8856,8856,-,8856,8856,-,-,-,n.a,G*,G,R,ok item
CROPS,TEA,-,GREEN TEA,1,8856,8856,-,8856,8856,-,8856,8856,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,ASPARAGUS*,ASPARAGUS* ,1,2150,2150,-,2150,2150,-,2150,2150,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,GREEN LEAFY VEGETABLES,CABAGGE,3,260,280,99,130,370,90,205,325,0.4,-0.295,1.500,0.726,G*,G,R,ok item
CROPS,VEGETABLES,GREEN LEAFY VEGETABLES,LETTUCE,3,212,237,76,110,290,53,174,264,0.4,-0.455,1.500,0.555,G*,G,R,ok item
CROPS,VEGETABLES,GREEN LEAFY VEGETABLES,SPINACH,1,292,292,-,292,292,-,292,292,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,ROOTS & BULBS,CARROT,1,195,195,-,195,195,-,195,195,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,ROOTS & BULBS,GARLIC,1,589,589,-,589,589,-,589,589,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,ROOTS & BULBS,ONION,2,290,290,18,272,309,18,281,299,0.1,0.000,1.000,n.a,G*,G,R,ok item
CROPS,VEGETABLES,ROOTS & BULBS,SHALLOT,1,272,272,-,272,272,-,272,272,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,ROOTS & BULBS,TURNIP,1,195,195,-,195,195,-,195,195,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",ARTICHOKE,1,818,818,-,818,818,-,818,818,-,-,-,n.a,G*,R,R,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",BROCCOLI,3,327,325,33,288,369,37,307,347,0.1,0.103,1.500,0.907,R,G,R,typology
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",BRUSSEL SPROUT,1,285,285,-,285,285,-,285,285,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",CAULIFLOWER,1,285,285,-,285,285,-,285,285,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",CHILLY FRESH,1,379,379,-,379,379,-,379,379,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",CUCUMBER,1,353,353,-,353,353,-,353,353,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",EGGPLANT,1,362,362,-,362,362,-,362,362,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",MAIZE GREEN,1,700,700,-,700,700,-,700,700,-,-,-,n.a,G*,R,R,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",OKRA,1,576,576,-,576,576,-,576,576,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",PEPPER,1,379,379,-,379,379,-,379,379,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",PUMPKIN,3,479,400,159,336,700,64,368,550,0.3,0.622,1.500,0.316,R,G,R,typology
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",SQUASH,1,336,336,-,336,336,-,336,336,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",STRING BEAN,1,547,547,-,547,547,-,547,547,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",TOMATO,6,69,41,71,5,214,31,20,85,1.0,1.209,3.062,0.101,Y,R,G,ok item
CROPS,VEGETABLES,"VEGETABLES (fruits, steems, flowers)",ZUCCHINI,1,336,336,-,336,336,-,336,336,-,-,-,n.a,G*,G,R,ok item
CROPS,VEGETABLES DRIED* (tomato),-,TOMATO DRIED*,1,4276,4276,-,4276,4276,-,4276,4276,-,-,-,n.a,G*,n.a,R,item matching typology
FISHING,FISH,-,BLACK CARP,2,2555,2555,21,2534,2576,21,2545,2566,0.0,0.000,1.000,n.a,G*,G,R,ok item
FISHING,FISH,-,CARP,1,2364,2364,-,2364,2364,-,2364,2364,-,-,-,n.a,G*,G,R,ok item
FISHING,FISH,-,COD,5,2795,2782,1535,659,4967,1120,1663,3902,0.5,0.023,1.663,0.949,G*,G,G,ok item
FISHING,FISH,-,FLOUNDER,2,798,798,618,180,1416,618,489,1107,0.8,0.000,1.000,n.a,G*,G,R,ok item
FISHING,FISH,-,GILSTHEAD SEABREAM,2,3544,3544,3044,500,6587,3044,2022,5065,0.9,0.000,1.000,n.a,G*,G,R,ok item
FISHING,FISH,-,GRASS CARP,1,2229,2229,-,2229,2229,-,2229,2229,-,-,-,n.a,G*,G,R,ok item
FISHING,FISH,-,GROUPER,1,360,360,-,360,360,-,360,360,-,-,-,n.a,G*,R,R,ok item
FISHING,FISH,-,MAJOR CARP,2,3808,3808,1212,2596,5020,1212,3202,4414,0.3,0.000,1.000,n.a,G*,G,R,ok item
FISHING,FISH,-,MANDARIN FISH,1,88,88,-,88,88,-,88,88,-,-,-,n.a,G*,R,R,ok item
FISHING,FISH,-,MILKFISH,2,2472,2472,92,2380,2563,92,2426,2517,0.0,0.000,1.000,n.a,G*,G,R,ok item
FISHING,FISH,-,PANGASIID,2,1910,1910,199,1711,2108,199,1810,2009,0.1,0.000,1.000,n.a,G*,G,R,ok item
FISHING,FISH,-,RED DRUM,1,2202,2202,-,2202,2202,-,2202,2202,-,-,-,n.a,G*,G,R,ok item
FISHING,FISH,-,SALMON,3,2550,2193,699,1929,3527,264,2061,2860,0.3,0.632,1.500,0.295,G*,G,R,ok item
FISHING,FISH,-,SEA-BASS,5,5222,6524,2576,1141,7721,1197,3295,7428,0.5,-0.545,1.620,0.265,G*,G,G,ok item
FISHING,FISH,-,SILVERBARB,2,2862,2862,1,2861,2862,1,2861,2862,0.0,0.000,1.000,n.a,G*,G,R,ok item
FISHING,FISH,-,STURGEON,1,13420,13420,-,13420,13420,-,13420,13420,-,-,-,n.a,G*,R,R,ok item
FISHING,FISH,-,TILAPIA,3,2262,2263,40,2213,2311,48,2238,2287,0.0,-0.025,1.500,0.978,G*,G,R,ok item
FISHING,FISH,-,TROUT,3,2986,2188,1654,1482,5289,706,1835,3739,0.6,0.612,1.500,0.335,G*,G,R,ok item
FISHING,FISH,-,TURBOT,1,1504,1504,-,1504,1504,-,1504,1504,-,-,-,n.a,G*,G,R,ok item
FISHING,FISH,-,WUCHANG BREAM,1,10550,10550,-,10550,10550,-,10550,10550,-,-,-,n.a,G*,R,R,ok item
FISHING,SHELLFISH* (crustacean),CRUSTACEAN*,CRUSTACEAN,1,1974,1974,-,1974,1974,-,1974,1974,-,-,-,n.a,G*,G,R,ok item
FISHING,SHELLFISH* (crustacean),CRUSTACEAN*,PRAWNS GIANT,5,1705,1738,216,1448,2063,222,1516,1758,0.1,0.447,2.022,0.619,G*,G,G,ok item
