,,,, litres of water/ kg or litres of food commodity,,,,,,,,,,,,,,,,
FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,n,mean,median,st.dev,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
AGRICULTURAL PROCESSED,JUICE,-,TOMATO JUICE,1,267,267,-,267,267,-,267,267,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,JUICE CONCENTRATED* (tomato),-,TOMATO JUICE CONCENTRATED*,1,1069,1069,-,1069,1069,-,1069,1069,-,-,-,n.a,G*,n.a,R,item matching typology
AGRICULTURAL PROCESSED,LEGUME FLOUR,-,SOYBEAN FLOUR,1,2523,2523,-,2523,2523,-,2523,2523,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,MARGARINE*,-,MARGARINE*,1,1324,1324,-,1324,1324,-,1324,1324,-,-,-,n.a,G*,n.a,R,item matching typology
AGRICULTURAL PROCESSED,OIL,-,COCONUT OIL,1,4490,4490,-,4490,4490,-,4490,4490,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,LINSEED OIL,1,9415,9415,-,9415,9415,-,9415,9415,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,MAIZE OIL,1,2575,2575,-,2575,2575,-,2575,2575,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,OLIVE OIL,2,14416,14416,16,14400,14431,16,14408,14423,0.0,0.000,1.000,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,OLIVE OIL REFINED,1,14726,14726,-,14726,14726,-,14726,14726,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,PALM OIL,1,4971,4971,-,4971,4971,-,4971,4971,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,PEANUT OIL,1,7529,7529,-,7529,7529,-,7529,7529,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,RAPESEED OIL,1,4301,4301,-,4301,4301,-,4301,4301,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,SESAM OIL,1,21793,21793,-,21793,21793,-,21793,21793,-,-,-,n.a,G*,G,R,ok item
