,,,,,kg CO2 eq/ kg or litre food commodity,,,,,,,,,,,,,,,
FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,n,mean,median,st.dev.,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
AGRICULTURAL PROCESSED,BEER,-,BEER IN CAN,5,0.69,0.69,0.14,0.51,0.90,0.12,0.58,0.77,0.20,0.878,2.620,0.329,Y,G,G,ITEM
AGRICULTURAL PROCESSED,BEER,-,BEER IN GLASS,9,1.03,0.96,0.52,0.42,2.27,0.29,0.67,1.17,0.50,1.117,3.412,0.275,G,G,G,ITEM
AGRICULTURAL PROCESSED,BEER,-,BEER MODULAR CAN,5,0.54,0.53,0.03,0.50,0.59,0.03,0.52,0.58,0.06,0.273,1.354,0.394,Y,G,G,ITEM
AGRICULTURAL PROCESSED,BISCUITS,-,CHOCOLATE OR CREAM FILLED COOKIES**,9,1.69,1.53,0.38,1.33,2.39,0.13,1.45,1.69,0.23,1.126,2.554,0.005,G,G,R,ITEM
AGRICULTURAL PROCESSED,BISCUITS,-,SIMPLE COOKIES**,12,1.50,1.39,0.35,1.11,2.35,0.18,1.25,1.60,0.23,1.183,3.600,0.078,G,G,G,ITEM
AGRICULTURAL PROCESSED,BOTTLED WATER* (mineral water),-,MINERAL WATER*,2,0.49,0.49,0.07,0.42,0.56,0.07,0.46,0.53,0.14,-,-,-,R,n.a,R,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,BREAD,-,BREAD MULTICEREAL**,2,0.70,0.70,0.16,0.54,0.86,0.16,0.62,0.78,0.23,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,BREAD,-,BREAD PLAIN**,9,0.97,0.89,0.25,0.61,1.54,0.06,0.85,0.98,0.26,1.012,3.332,0.140,G,G,G,ITEM
AGRICULTURAL PROCESSED,BREAD,-,BREAD WHOLE**,5,0.78,0.77,0.13,0.55,0.91,0.12,0.76,0.89,0.17,-0.725,2.285,0.354,Y,G,G,ITEM
AGRICULTURAL PROCESSED,BREAD FROZEN* (rolls frozen),-,BREAD FROZEN (F)*,1,1.31,1.31,-,1.31,1.31,-,1.31,1.31,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,BREAKFAST CEREALS* (cornflakes),-,CORNFLAKES*,1,2.64,2.64,-,2.64,2.64,-,2.64,2.64,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
